Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
25/02/2020,"8 LOCH VIEW, BALLYMACARRY, BUNCRANA",,Donegal,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2016,"36 LANSDOWN VILLAGE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2016,"18 THE WALK, WOODPARK, BALLINTEER",Dublin 16,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2021,"9 EDEN TERRACE, GLASTHULE, DUBLIN",,Dublin,"€416,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2019,"48 Stillorgan Gate, Upper Kilmacud Road, Stillorgan",,Dublin,"€506,608.00",No,Yes,New Dwelling house /Apartment,
01/10/2015,"ALTASKIN, ST JOHNSTON, CO DONEGAL",,Donegal,"€26,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2018,"55 SUNNYHILL, KENMARE, CO. KERRY",,Kerry,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"51 ROCKFIELD RD, KELLS, MEATH",,Meath,"€174,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2015,"6 GLEN GARTH, THE PARK, CABINTEELY DUBLIN 18",Dublin 18,Dublin,"€630,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2014,"COGUALA, CLOGHER, CLAREMORRIS",,Mayo,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2021,"APT 13 RIDGEWOOD GROVE, RIDGEWOOD, SWORDS",,Dublin,"€252,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2015,"156 CRATLOE WOOD STUDENT VILLAGE, OLD CRATLOE RD, LIMERICK",,Limerick,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2012,"21 Derrymore, Portarlington",,Laois,"€38,190.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/11/2020,"LUMVILLE, EDENDERRY, OFFALY",,Offaly,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2018,"61 WOODGROVE, BALLYFIN RD, PORTLAOISE",,Laois,"€82,588.91",No,No,Second-Hand Dwelling house /Apartment,
27/06/2014,"1 PARK CRESCENT HOUSE, BLACKHORSE AVE, DUBLIN 7",Dublin 7,Dublin,"€199,105.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2021,"11 WESTLANDS, MOUNTRATH RD, PORTLAOISE",,Laois,"€239,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2016,"68 Annadale Crescent, Drumcondra",Dublin 9,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/07/2021,"14 EST AVE, MERRION RD, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€545,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2018,"41 HAZELWOOD COURT, TAYLORS HILL RD, GALWAY",,Galway,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2021,"FRIARY ROAD, NAAS, CO. KILDARE",,Kildare,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2019,"SNIPEVALE, TULLINEASKY, CLONAKILTY",,Cork,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"APT 18, 121 122 CAPEL ST, DUBLIN 1",Dublin 1,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2021,"4 THE COVE, MALAHIDE, CO DUBLIN",Dublin 12,Dublin,"€545,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2011,"7 Bromley Park, Donnybrook, Douglas",,Cork,"€193,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2017,"6 PEARSE DR, LISBRACK, LONGFORD",,Longford,"€67,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2017,"4 FORBES LANE, DUBLIN 8, DUBLIN",Dublin 8,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2015,"APT 7, CLARION QUAY, EXCISE WALK",Dublin 1,Dublin,"€347,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2020,"9 DISWELLSTOWN CHASE, HAMILTON PARK, CASTLEKNOCK",Dublin 15,Dublin,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2015,"51 OAK HOUSE, MESPIL ESTATE, SUSSEX RD",Dublin 4,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2020,"6 DEERPARK CLOSE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€1,250,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2018,"4 CARRAIG ABHAINN, BALLISODARE, CO SLIGO",,Sligo,"€145,375.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/09/2016,"8 WEST END, MALLOW, CORK",,Cork,"€150,100.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2019,"STONE COTTAGE, CARRIGBYRNE, NEWBAWN",,Wexford,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2020,"10 MOUNTSHANNON COURT, MOUNTSHANNON, CO CLARE",,Clare,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/06/2020,"17 KNOCKLYON PARK, KNOCKLYON, DUBLIN 16",Dublin 16,Dublin,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2018,"10 SHEAS COURT, SHEAS LANE, MANOR ST",Dublin 7,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2021,"ST COLEMAN'S, 27 BROOKFIELD PARK, THE LOUGH",,Cork,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2015,"1 FINBAR TERRACE, MAGHEROSS, CARRICKMACROSS",,Monaghan,"€86,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2015,"32 Churchwell Rise, Belmayne, Balgriffin",Dublin 13,Dublin,"€127,669.60",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/12/2020,"10 GLEANN BHREAU, COIS BHREAU, ATHY",,Kildare,"€97,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2011,"73 Carrigweir, Weir Road, Tuam",,Galway,"€139,207.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
12/03/2021,"67 GRANVILLE PARK, BLACKROCK, CO DUBLIN",,Dublin,"€910,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2020,"13 MALAHIDE RD, DUBLIN 3, DUBLIN",Dublin 3,Dublin,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2018,"6 EATON BRAE, CORBAWN LAWN, SHANKILL",Dublin 18,Dublin,"€850,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2019,"134 BRIGHTWATER, CROSSHAVEN, CORK",,Cork,"€329,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"12 BARRYSCOURT HOUSE, DOUGLAS, CORK",,Cork,"€148,015.50",No,No,Second-Hand Dwelling house /Apartment,
11/02/2010,"5 Fernhill Court, Glebemount, Wicklow",,Wicklow,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2014,"Drumard, Frosses",,Donegal,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2012,"farnagh glebe, longford",,Longford,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"CLEARIESTOWN, WEXFORD",,Wexford,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2011,"1 Canal (Harbour) View, Sallins, Kildare",,Kildare,"€117,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2019,"6 HOLYWELL LANE, FELTRIM, SWORDS",,Dublin,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2012,"Dunross, Culdaff",,Donegal,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2020,"FARNAHOE, INNISHANNON, CORK",,Cork,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2014,"TULLY CARROWHEHY, CASTLEREA, ROSCOMMON",,Roscommon,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2018,"21 CARRAIG DOWNES, DUALLA RD, CASHEL",,Tipperary,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2020,"16 FINNSVIEW, FINNSTOWN PRIORY, NEWCASTLE RD",,Dublin,"€317,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2019,"AMBERWOOD, 42 CAPTAINS HILL, LEIXLIP",,Kildare,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2017,"23 EDEN WOOD, PRIORY RD, DELGANY",,Wicklow,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2012,"Rathanoragh, Strandhill Road, Sligo",,Sligo,"€188,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"68 HILLCREST PARK, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2020,"INISHNEE, ROUNDSTONE, COUNTY GALWAY",,Galway,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2021,"55 CONQUER HILL RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2010,"Apt 18 Cedar Grove, Firhouse Road, Templeogue",,Dublin,"€361,233.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/11/2014,"RATHCORE, ENFIELD, MEATH",,Meath,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2018,"27 RIVER WALK, GORT, CO GALWAY",,Galway,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2019,"45 OAKBROOK, CASTLELAKE, CARRIGTWOHILL",,Cork,"€231,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2021,"SALAMANCA, TOMNALLOSSET, ENNISCORTHY",,Wexford,"€268,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2019,"27 ORPEN CLOSE, STILLORGAN GROVE, STILLORGAN",,Dublin,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2017,"91 THE BOROUGH, MONEYGOURNEY, DOUGLAS",,Cork,"€180,930.48",No,No,Second-Hand Dwelling house /Apartment,
07/08/2021,"64 RIVEROAKS, CLAREGALWAY, CO GALWAY",,Galway,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2020,"76 THE CHANDER, ARRAN QUAY, DUBLIN",,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"75 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,"€8,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/05/2012,"Usk, Dunlavin",,Wicklow,"€54,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2019,"31 BRAMBLE WAY, CASTLELAKE, CARRIGTWOHILL",,Cork,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2011,"27 Seafort Gardens, Sandymount, Dublin 4",Dublin 4,Dublin,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2018,"46 Park Crescent, Hansfield Wood, Hansfield",Dublin 15,Dublin,"€317,180.16",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/07/2020,"Apartment 55 Brooklands, Dublin Road, Clane",,Kildare,"€216,740.09",Yes,Yes,New Dwelling house /Apartment,
04/07/2018,"27 parkside court, parkside, malahide road",,Dublin,"€272,951.54",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
19/03/2015,"Cuilbeg, Claddaghduff",,Galway,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2013,"1 Castle Avenue, Kilminchy, Portlaoise",,Laois,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2020,"25 Oakwood Park, Derrinturn",,Kildare,"€259,000.00",Yes,Yes,New Dwelling house /Apartment,
30/08/2018,"APT 33 RIVERGATE, CRYWELL RD, NEW ROSS",,Wexford,"€101,034.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2017,"24 GALLOW HILL, KILDARE ROAD, ATHY",,Kildare,"€233,040.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/05/2017,"81  Diswellstown Manor, Castleknock",,Dublin,"€365,638.76",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
05/08/2016,"OLD ROAD, FANORE, CO CLARE",,Clare,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"Apt 17 Block A Clares Court, Main Street/Church Street",,Cavan,"€11,630.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2010,"43 belmont park, ballinlough, cork",,Cork,"€293,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2015,"67 Block D Hazelwood, Millfield Manor, Newbridge",,Kildare,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2011,"Kellystown, Adamstown",,Wexford,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2014,"14 BLACKLION MANOR, GREYSTONES, WICKLOW",,Wicklow,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2020,"CLOYDAGH, CARLOW, CO CARLOW",,Carlow,"€97,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2018,"9 FRONT FIELD, OAKVIEW VILLAGE, TRALEE",,Kerry,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2019,"45 ABBOT COURT, HOLLY CROSS, THURLES",,Tipperary,"€79,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2021,"47 THE MAPLES, OAKLEIGH WOOD, TULLA ROAD ENNIS",,Clare,"€304,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2020,"1 Royal Terrace North, Dun Laoghaire",,Dublin,"€1,123,348.02",No,Yes,New Dwelling house /Apartment,
06/10/2014,"Apt 260 Charlestown Centre, Charlestown Place, St Margaret's Road  Finglas",,Dublin,"€194,086.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"77 GLASANAON RD, FINGLAS EAST, DUBLIN 11",,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2017,"6 ALDERPARK COURT, OLD BLESSINGTON RD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2021,"35 Seoid Na Tra, Bettystown",,Meath,"€284,140.00",No,Yes,New Dwelling house /Apartment,
20/07/2017,"17 GORTEENS NORTH, ANNASCAUL, KERRY",,Kerry,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"1 KINGS CROFT, CASHEL, TIPPERARY",,Tipperary,"€32,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2017,"60 MARIAN PARK, DUNDALK, CO LOUTH",,Louth,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2014,"51 FRIARS WALK, DUNMORE, GALWAY",,Galway,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2019,"11 Oakwood Park, Derrinturn",,Kildare,"€261,500.00",Yes,Yes,New Dwelling house /Apartment,
26/08/2011,"18 The Limekiln, Clough, Ballacollqa",,Laois,"€99,118.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/02/2019,"30 CLAREMONT PARK, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€1,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2019,"35 MCCURTAINS VILLAS, COLLEGE RD, CORK",,Cork,"€248,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2020,"83 River Crescent, Virginia, Co Cavan",,Cavan,"€229,000.00",No,Yes,New Dwelling house /Apartment,
27/05/2016,"91 Clarkes Wood, Mount Oval Village, Rochestown",,Cork,"€171,806.16",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/06/2018,"MILL ST, SWINFORD, MAYO",,Mayo,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2020,"1A TREEPARK CLOSE, KILNAMANAGH, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2013,"1 VERSCHOYLE PARK, SAGGART, DUBLIN",,Dublin,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2014,"THE GLEBE, TAGHSHINNY, BALLYMAHON",,Longford,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"35 Kerlogue Manor, Rocksborough, Co. Wexford",,Wexford,"€214,977.97",No,Yes,New Dwelling house /Apartment,
11/01/2016,"31 SHIP STREET, DROGHEDA, COUNTY LOUTH",,Louth,"€7,250.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2014,"145 LEIGHLIN RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2019,"8 BALLINTYRE GROVE, BALLINTYRE HALL, BALLINTEER DUBLIN 16",Dublin 16,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2013,"95 Riddlesford, Southern Cross, Bray",,Wicklow,"€248,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2019,"OLD SCHOOL HOUSE, BAUNMORE, CLAREGALWAY",,Galway,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2018,"59 THE CEDARS, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2018,"9 PRIORY DR, EDEN GATE, DELGANY",,Wicklow,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2016,"Cornancane, Manorhamilton, Co Leitrim",,Leitrim,"€105,000.00",Yes,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/04/2019,"16 TEMPLE LAWNS, NORTH WOOD, SANTRY DUBLIN 9",Dublin 9,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2021,"3 ABBEY MANOR, ROSEBERRY, NEWBRIDGE",,Kildare,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2021,"3 GREEN RD, CARLOW",,Carlow,"€292,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2013,"Apartment 12  Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2015,"28  Willouise, Sherlockstown, Sallins",,Kildare,"€114,097.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2015,"ARD NA GREINE, CLONROADMORE, ENNIS",,Clare,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2012,"36 Coney Park, Coneyboro, Athy",,Kildare,"€55,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/10/2010,"13 Orby Avenue, The Gallops, Sandyford",,Dublin,"€372,061.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/12/2013,"21 Redcourts Oaks, Seafield Road, Clontarf",Dublin 3,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2013,"19 Lana an Bhaile, Craughwell",,Galway,"€118,943.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/06/2015,"4A AVALON COURT, BURROW RD, SUTTON DUBLIN 13",Dublin 13,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2021,"APT 76, THE MALTHOUSE, MARROWBONE LANE DUBLIN 8",Dublin 8,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2014,"No. 46 The Garden, Ballymacool, Letterkenny",,Donegal,"€32,600.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2017,"APARTMENT 6, SPRING RICE HOUSE, PERY SQUARE",,Limerick,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2016,"10 THE PADDOCKS, MARYBOROUGH HILL, DOUGLAS",,Cork,"€710,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2020,"62 ANNAGH COURT WATERVILLE, BLANCHARDSTOWN, DUBLIN",Dublin 15,Dublin,"€267,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2015,"16 FOXFIELD, CARRICKMACROSS, CO MONAGHAN",,Monaghan,"€131,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2016,"18 THE GREEN, MEADOW VALE, ARKLOW",,Wicklow,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2013,"248 Blarney Street, Cork",,Cork,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2015,"ELISHA LARCH, KILSKEAGH, TURLOUGHMORE",,Galway,"€95,100.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"27 Hampton Gardens Avenue, Balbriggan",,Dublin,"€221,194.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/07/2010,"12 Barton Road East, Rathfarnham, Dublin 14",,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2019,"73 MEADOWLANDS BROOMFIELD VILLAGE, MIDLETON, CORK",,Cork,"€127,500.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2018,"23 BEACHSIDE DOWNS, RIVERCHAPEL, ARDAMINE",,Wexford,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2018,"65 WATERVILLE TERRACE, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,"€215,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2013,"149 Malahide Road, Donnycarney",Dublin 9,Dublin,"€68,750.00",Yes,No,Second-Hand Dwelling house /Apartment,
05/07/2019,"9 ST BERNARDS PLACE, FERMOY, CO CORK",,Cork,"€156,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2012,"Leinster Park, Maynooth",,Kildare,"€555,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2019,"SHANBALLY, REARCROSS, NEWPORT",,Tipperary,"€273,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/12/2013,"66 GORT NA GLAISE, SANDY RD, GALWAY",,Galway,"€135,250.00",No,No,Second-Hand Dwelling house /Apartment,
17/04/2018,"16 ASSUMPTION PLACE, CLONAKILTY, CORK",,Cork,"€192,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2016,"109 SHANAGARRY, MILLTOWN RD, MILLTOWN DUBLIN 6",Dublin 6,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2019,"SION HOUSE, SION ROAD, KILKENNY",,Kilkenny,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/07/2021,"CLARA RD, KILBEGGAN, WESTMEATH",,Westmeath,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2018,"11 SACKVILLE COURT, BLESSINGTON ST, DUBLIN 7",Dublin 7,Dublin,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2019,"13 Cluain Bhearu, Athy",,Kildare,"€219,945.39",Yes,Yes,New Dwelling house /Apartment,
11/03/2015,"DEJA VUE, KENNILWORTH, YOUGHAL",,Cork,"€118,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2014,"Apartment 521 The Gates, Beacon South Quarter, Sandyford",Dublin 18,Dublin,"€288,528.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/09/2020,"7 The Green, Silver Banks, Stamullen",,Meath,"€255,507.00",No,Yes,New Dwelling house /Apartment,
19/07/2017,"Apt 41 New Bancroft Square, Main Street, Tallaght",Dublin 24,Dublin,"€182,934.64",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/08/2018,"365 COLLINSWOOD, COLLINS AVE, DUBLIN 9",Dublin 9,Dublin,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2021,"KNOCKSCOVANE, TULLYLEASE, CHARLEVILLE",,Cork,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2011,"19 Fergus Road, Terenure, Dublin 6",,Dublin,"€343,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2019,"37 OCONNELL GARDENS, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€553,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"73 INISH ORGA, CURRYCLOUGH, BANDON",,Cork,"€112,449.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/05/2017,"5 SARSFIELD COURT, EDWARD ST, LIMERICK",,Limerick,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2012,"Bracklin Little, Kilbeggan",,Offaly,"€132,159.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/08/2017,"GLYNDALE, MAYNOOTH RD, CELBRIDGE",,Kildare,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2017,"44 Castle Park, Termonfeckin",,Louth,"€230,893.83",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/09/2014,"BALLINLOUGH, CO ROSCOMMON",,Roscommon,"€57,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2014,"APT 3, 44 WELLINGTON QUAY, DUBLIN 2",Dublin 2,Dublin,"€156,667.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2014,"23 Summerseat Crescent, Clonee",Dublin 15,Dublin,"€184,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2012,"Block A, Apartment 1 Hamilton Square, Cabra",Dublin 1,Dublin,"€25,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/05/2015,"12 12a 13 14 15 16 16a, Eastmoreland Lane, Ballsbridge",Dublin 4,Dublin,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"82 THE SWEEPSTAKES, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/01/2016,"GREENRATH, TIPPERARY TOWN, CO TIPPERARY",,Tipperary,"€129,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2011,"10A Elm Park, Ennis Road",,Limerick,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2018,"6103 BENBULBEN SUITES, CLARION ROAD, CO SLIGO",,Sligo,"€50,855.66",No,No,Second-Hand Dwelling house /Apartment,
11/04/2018,"3 The Park, Cork Road, Carrigaline",,Cork,"€409,692.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
15/12/2017,"18 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2019,"BALLINEARLA, KILMACOW, KILKENNY",,Kilkenny,"€70,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
11/06/2015,"25 ROSSMORE RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
