Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
08/06/2012,"25 The Links, Lahinch",,Clare,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2011,"Woodside, Mogeely Road, Castlemartyr",,Cork,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"46 CLOS NA MANACH, CARLINGFORD, CO. LOUTH",,Louth,"€75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/03/2017,"APT 48 BLOCK C, LOUISA PARK, STATION ROAD",,Kildare,"€131,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2019,"5 STREAMVILLE CLOSE, DONAGHMEDE, DUBLIN 13",Dublin 13,Dublin,"€143,856.94",Yes,No,Second-Hand Dwelling house /Apartment,
22/09/2021,"20 THE ORCHARD, KINGSTON, GALWAY",,Galway,"€860,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"5 Whitethorn Park, Allenwood, Naas",,Kildare,"€228,634.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/02/2021,"47 THE STRAND, MARINA VILLAGE, GREYSTONES",,Wicklow,"€435,390.75",No,No,Second-Hand Dwelling house /Apartment,
04/05/2012,"85 Willow Park, Athlone, Co. westmeath",,Westmeath,"€36,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2017,"15A SLI NA SIUIRE, MITCHEL ST, THURLES",,Tipperary,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/11/2018,"19 DRURY MILLS, SAGGART, DUBLIN",,Dublin,"€407,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2016,"5 Elder Heath Lawn, Elder Heath, Kiltipper Road",Dublin 24,Dublin,"€275,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/06/2011,"49 Glenbrook, Knock",,Mayo,"€79,295.15",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/08/2021,"BALLYORAN, FERMOY, CORK",,Cork,"€242,000.00",No,No,Second-Hand Dwelling house /Apartment,
